text,true_label,predicted_label,confidence
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,ham,spam,90
Lol your always so convincing.,ham,spam,95
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham,spam,95
"I'm back &amp; we're packing the car now, I'll let you know if there's room",ham,spam,95
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,spam,95
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",ham,spam,95
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham,spam,95
K tell me anything about you.,ham,spam,95
For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,spam,95
Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam,spam,95
Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham,ham,95
"Oops, I'll let you know when my roommate's done",ham,spam,95
I see the letter B on my car,ham,spam,95
Anything lor... U decide...,ham,spam,95
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham,spam,95
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham,spam,95
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham,spam,95
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam,spam,95
WHO ARE YOU SEEING?,ham,spam,95
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham,spam,95
No calls..messages..missed calls,ham,ham,70
Didn't you get hep b immunisation in nigeria.,ham,spam,95
"Fair enough, anything going on?",ham,spam,95
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham,spam,90
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham,spam,95
What you thinked about me. First time you saw me in class.,ham,spam,95
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham,spam,95
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham,spam,95
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",ham,spam,95
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,spam,95
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,spam,95
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam,spam,95
"Sorry, I'll call later in meeting.",ham,ham,90
Tell where you reached,ham,spam,95
Yes..gauti and sehwag out of odi series.,ham,spam,95
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham,spam,95
Ha ha ha good joke. Girls are situation seekers.,ham,spam,95
Its a part of checking IQ,ham,spam,95
"Sorry my roommates took forever, it ok if I come by now?",ham,ham,95
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham,spam,95
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",spam,spam,95
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",ham,spam,95
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam,spam,95
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",spam,spam,95
I plane to give on this month end.,ham,spam,95
Wah lucky man... Then can save money... Hee...,ham,spam,95
Finished class where are you.,ham,spam,95
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham,spam,95
K..k:)where are you?how did you performed?,ham,spam,95
U can call me now...,ham,spam,95
I am waiting machan. Call me once you free.,ham,spam,95
Thats cool. i am a gentleman and will treat you with dignity and respect.,ham,ham,90
I like you peoples very much:) but am very shy pa.,ham,spam,95
Does not operate after  &lt;#&gt;  or what,ham,spam,95
Its not the same here. Still looking for a job. How much do Ta's earn there.,ham,spam,95
"Sorry, I'll call later",ham,ham,90
K. Did you call me just now ah? ,ham,spam,95
Ok i am on the way to home hi hi,ham,ham,90
You will be in the place of that man,ham,spam,95
Yup next stop.,ham,spam,95
"I call you later, don't have network. If urgnt, sms me.",ham,spam,95
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham,spam,95
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham,spam,95
I'm really not up to it still tonight babe,ham,spam,95
"Ela kano.,il download, come wen ur free..",ham,spam,95
Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,ham,spam,95
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,ham,spam,95
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham,spam,95
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam,spam,95
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham,spam,95
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",spam,spam,95
Watching telugu movie..wat abt u?,ham,spam,95
i see. When we finish we have loads of loans to pay,ham,spam,95
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",ham,ham,95
Please don't text me anymore. I have nothing else to say.,ham,ham,95
